id,label
test_000001,0
test_000002,0
test_000003,0
test_000004,0
test_000005,0
test_000006,0
test_000007,0
test_000008,0
test_000009,0
test_000010,0
test_000011,0
test_000012,0
test_000013,0
test_000014,0
test_000015,0
test_000016,0
test_000017,0
test_000018,0
test_000019,0
test_000020,0
test_000021,0
test_000022,0
test_000023,0
test_000024,0
test_000025,0
test_000026,1
test_000027,0
test_000028,0
test_000029,0
test_000030,0
test_000031,0
test_000032,0
test_000033,0
test_000034,0
test_000035,0
test_000036,0
test_000037,1
test_000038,0
test_000039,0
test_000040,0
test_000041,0
test_000042,0
test_000043,0
test_000044,0
test_000045,0
test_000046,0
test_000047,0
test_000048,1
test_000049,0
test_000050,0
test_000051,0
test_000052,0
test_000053,0
test_000054,0
test_000055,0
test_000056,0
test_000057,1
test_000058,1
test_000059,0
test_000060,0
test_000061,0
test_000062,0
test_000063,0
test_000064,0
test_000065,0
test_000066,0
test_000067,0
test_000068,0
test_000069,0
test_000070,0
test_000071,0
test_000072,0
test_000073,0
test_000074,0
test_000075,0
test_000076,0
test_000077,0
test_000078,0
test_000079,1
test_000080,0
test_000081,0
test_000082,0
test_000083,0
test_000084,0
test_000085,0
test_000086,0
test_000087,0
test_000088,0
test_000089,0
test_000090,0
test_000091,0
test_000092,1
test_000093,0
test_000094,0
test_000095,0
test_000096,0
test_000097,0
test_000098,0
test_000099,0
test_000100,1
test_000101,0
test_000102,0
test_000103,0
test_000104,0
test_000105,0
test_000106,0
test_000107,1
test_000108,0
test_000109,0
test_000110,0
test_000111,0
test_000112,0
test_000113,0
test_000114,0
test_000115,0
test_000116,0
test_000117,0
test_000118,0
test_000119,0
test_000120,0
test_000121,0
test_000122,0
test_000123,0
test_000124,0
test_000125,0
test_000126,0
test_000127,0
test_000128,1
test_000129,0
test_000130,0
test_000131,0
test_000132,0
test_000133,0
test_000134,0
test_000135,0
test_000136,0
test_000137,0
test_000138,0
test_000139,0
test_000140,0
test_000141,0
test_000142,0
test_000143,0
test_000144,0
test_000145,1
test_000146,0
test_000147,0
test_000148,0
test_000149,0
test_000150,0
test_000151,0
test_000152,0
test_000153,0
test_000154,0
test_000155,0
test_000156,0
test_000157,0
test_000158,1
test_000159,1
test_000160,0
test_000161,0
test_000162,0
test_000163,1
test_000164,0
test_000165,0
test_000166,0
test_000167,0
test_000168,0
test_000169,0
test_000170,0
test_000171,1
test_000172,0
test_000173,0
test_000174,1
test_000175,1
test_000176,0
test_000177,0
test_000178,0
test_000179,1
test_000180,0
test_000181,0
test_000182,0
test_000183,0
test_000184,0
test_000185,0
test_000186,0
test_000187,0
test_000188,0
test_000189,0
test_000190,0
test_000191,0
test_000192,0
test_000193,0
test_000194,0
test_000195,0
test_000196,0
test_000197,0
test_000198,0
test_000199,0
test_000200,0
test_000201,0
test_000202,0
test_000203,0
test_000204,0
test_000205,0
test_000206,0
test_000207,0
test_000208,0
test_000209,0
test_000210,0
test_000211,0
test_000212,0
test_000213,0
test_000214,0
test_000215,0
test_000216,0
test_000217,0
test_000218,0
test_000219,0
test_000220,0
test_000221,0
test_000222,1
test_000223,0
test_000224,0
test_000225,0
test_000226,0
test_000227,0
test_000228,0
test_000229,0
test_000230,1
test_000231,1
test_000232,0
test_000233,0
test_000234,1
test_000235,0
test_000236,0
test_000237,0
test_000238,0
test_000239,0
test_000240,0
test_000241,0
test_000242,1
test_000243,0
test_000244,0
test_000245,0
test_000246,0
test_000247,0
test_000248,1
test_000249,1
test_000250,0
test_000251,0
test_000252,0
test_000253,1
test_000254,0
test_000255,0
test_000256,0
test_000257,1
test_000258,0
test_000259,0
test_000260,0
test_000261,0
test_000262,0
test_000263,0
test_000264,0
test_000265,0
test_000266,1
test_000267,1
test_000268,0
test_000269,0
test_000270,0
test_000271,0
test_000272,0
test_000273,1
test_000274,0
test_000275,0
test_000276,0
test_000277,0
test_000278,0
test_000279,0
test_000280,0
test_000281,1
test_000282,0
test_000283,0
test_000284,1
test_000285,0
test_000286,0
test_000287,0
test_000288,0
test_000289,0
test_000290,0
test_000291,0
test_000292,0
test_000293,0
test_000294,0
test_000295,0
test_000296,0
test_000297,0
test_000298,0
test_000299,0
test_000300,0
test_000301,0
test_000302,0
test_000303,1
test_000304,0
test_000305,0
test_000306,0
test_000307,0
test_000308,0
test_000309,0
test_000310,0
test_000311,0
test_000312,0
test_000313,0
test_000314,0
test_000315,1
test_000316,0
test_000317,0
test_000318,0
test_000319,1
test_000320,0
test_000321,0
test_000322,0
test_000323,0
test_000324,0
test_000325,0
test_000326,0
test_000327,1
test_000328,1
test_000329,0
test_000330,0
test_000331,0
test_000332,0
test_000333,1
test_000334,0
test_000335,0
test_000336,0
test_000337,0
test_000338,0
test_000339,0
test_000340,0
test_000341,0
test_000342,0
test_000343,0
test_000344,0
test_000345,0
test_000346,0
test_000347,0
test_000348,0
test_000349,0
test_000350,0
test_000351,0
test_000352,0
test_000353,0
test_000354,0
test_000355,0
test_000356,0
test_000357,0
test_000358,0
test_000359,0
test_000360,0
test_000361,0
test_000362,1
test_000363,1
test_000364,0
test_000365,0
test_000366,0
test_000367,0
test_000368,0
test_000369,0
test_000370,0
test_000371,0
test_000372,0
test_000373,0
test_000374,0
test_000375,0
test_000376,0
test_000377,0
test_000378,0
test_000379,1
test_000380,0
test_000381,0
test_000382,0
test_000383,0
test_000384,1
test_000385,1
test_000386,0
test_000387,0
test_000388,0
test_000389,0
test_000390,0
test_000391,1
test_000392,0
test_000393,0
test_000394,0
test_000395,1
test_000396,0
test_000397,0
test_000398,0
test_000399,1
test_000400,1
test_000401,0
test_000402,1
test_000403,1
test_000404,0
test_000405,0
test_000406,0
test_000407,0
test_000408,1
test_000409,0
test_000410,1
test_000411,0
test_000412,0
test_000413,0
test_000414,0
test_000415,0
test_000416,0
test_000417,0
test_000418,0
test_000419,0
test_000420,0
test_000421,0
test_000422,1
test_000423,0
test_000424,0
test_000425,0
test_000426,0
test_000427,0
test_000428,0
test_000429,0
test_000430,0
test_000431,0
test_000432,0
test_000433,0
test_000434,0
test_000435,1
test_000436,1
test_000437,0
test_000438,1
test_000439,0
test_000440,0
test_000441,0
test_000442,0
test_000443,1
test_000444,0
test_000445,0
test_000446,0
test_000447,1
test_000448,0
test_000449,0
test_000450,0
test_000451,1
test_000452,0
test_000453,0
test_000454,0
test_000455,0
test_000456,1
test_000457,0
test_000458,0
test_000459,1
test_000460,0
test_000461,0
test_000462,0
test_000463,0
test_000464,0
test_000465,0
test_000466,0
test_000467,1
test_000468,0
test_000469,0
test_000470,0
test_000471,0
test_000472,0
test_000473,1
